,University Name,Department Name,Faculty Directory Homepage
sp19_student,Trident University,Computer Science,https://www.trident.edu/why-trident/our-people/faculty/?fc=b-s-computer-science
sp19_student,City University of Hong Kong,Computer Science,https://www.cs.cityu.edu.hk/people/academic_staff.html
sp19_student,USC,Electrical and Computer Engineering,https://minghsiehee.usc.edu/directory/faculty/
sp19_student,Worcester Polytechnic Institute,Computer Science,https://www.wpi.edu/academics/departments/computer-science/faculty-staff
sp19_student,Swarthmore College,Computer Science,https://www.swarthmore.edu/computer-science/faculty-staff
sp19_student,Unversity of Liverpool,Computer Science,https://www.liverpool.ac.uk/computer-science/people/
sp19_student,Illinois State University ,InformationTechnology,https://it.illinoisstate.edu/faculty-staff/
sp19_student,UT Dallas,Computer Science,https://cs.utdallas.edu/people/faculty/
sp19_student,University of Montreal,Computer Science,https://en.diro.umontreal.ca/department-directory/professeurs/
sp19_student,SouthWest University,Computer Science,https://www.southwestern.edu/math-and-computer-science/our-faculty/
sp19_student,Massachusetts Institute of Technology,Aeronautical Engineering,https://aeroastro.mit.edu/faculty-research/faculty-list
sp19_student,Cornell University ,Computer Science,https://www.cs.cornell.edu/people/faculty
sp19_student,Arizona State University,"Electrical, Computer and Energy Engineering",https://ecee.engineering.asu.edu/tenured-and-tenure-track-faculty/
sp19_student,Middlebury College,Computer Science,http://www.middlebury.edu/academics/cs/faculty
sp19_student,Texas A&M,Computer Science and Engineering,https://engineering.tamu.edu/cse/profiles/index.html
sp19_student,Virginia Tech,Computer Science,https://cs.vt.edu/People/Faculty.html
sp19_student,Wake Forest University,Computer Science,http://college.wfu.edu/cs/people/cs-faculty
sp19_student,Simon Fraser University,Computer Science,http://www.sfu.ca/computing/people/faculty.html
sp19_student,Tulane University,Computer Science,https://www2.tulane.edu/sse/cs/faculty/
sp19_student,University of Tennessee,Computer Science,http://www.eecs.utk.edu/people/faculty/
sp19_student,Wayne State University,Computer Science,http://engineering.wayne.edu/cs/faculty.php
sp19_student,University of Kansas,Bioengineering,http://bio.engr.ku.edu/people#Core_Faculty
sp19_student,UC Irvine,Electrical Engineering and Computer Science,http://engineering.uci.edu/directory/dept/eecs
sp19_student,Northwestern University,Civil and Environmental Engineering,https://www.mccormick.northwestern.edu/civil-environmental/people/faculty/
sp19_student,West Virginia University ,Computer Science,https://lcsee.statler.wvu.edu/faculty-and-staff
sp19_student,University of Maine,Computer Science,https://umaine.edu/cs/computer-science-faculty/
sp19_student,IIT Kanpur,Computer Science,https://www.cse.iitk.ac.in/pages/Faculty.html
sp19_student,SUNY Buffalo,Computer Science,http://engineering.buffalo.edu/computer-science-engineering/people/faculty-directory.html
sp19_student,California State University East Bay,Computer Science,https://www.csueastbay.edu/cs/faculty-office-hours/faculty-profiles.html
sp19_student,Carthage College,Computer Science,https://www.carthage.edu/computer-science/faculty/
sp19_student,Regis University,Computer Science,https://www.regis.edu/CCIS/Academics/Departments-and-Faculty/Computer-Science.aspx
sp19_student,Unversity of Liverpool,Electrical Enginnering and Electronics,https://www.liverpool.ac.uk/electrical-engineering-and-electronics/staff/
sp19_student,Bethel College,Math and Computer Science,https://www.bethel.edu/undergrad/academics/math-cs/faculty
sp19_student,University College London,Computer Science,http://www.cs.ucl.ac.uk/people/
sp19_student,Rugster University,Computer Science,https://www.cs.rutgers.edu/people/faculty/professors
sp19_student,Michigan Technological University,Computer Science,https://www.mtu.edu/cs/department/faculty-staff/
sp19_student,Gonzaga University,Computer Science,https://www.gonzaga.edu/school-of-engineering-applied-science/degrees-and-programs/computer-science/faculty
sp19_student,University College London,Electrical Enginnering and Electronics,https://www.ucl.ac.uk/electronic-electrical-engineering/people/academic-staff
sp19_student,Stanford,Bioengineering,https://bioengineering.stanford.edu/people/faculty
sp19_student,Arizona State University,"Engineering of Matter, Transport and Energy",https://semte.engineering.asu.edu/faculty/
fa19_student,University of Illinois at Urbana-Champaign,Chemistry,https://chemistry.illinois.edu/directory/faculty-by-type
fa19_student,Kansas State University,Computer Science,https://www.cs.ksu.edu/people/faculty/
fa19_student,Indiana University Bloomington,Computer Science,https://cs.indiana.edu/faculty-directory/index.html?&type=2&aca_dept=1
fa19_student,Missouri University of Science and Technology,Computer Science,https://cs.mst.edu/faculty-and-staff/faculty-directory/
fa19_student,Cornell University ,Information Science,https://infosci.cornell.edu/people/faculty
fa19_student,UNSW Sydney,Computer Science and Engineering,https://www.engineering.unsw.edu.au/computer-science-engineering/academic-profiles/cse-academic-profiles
fa19_student,"McMaster University, Canada",Computing and Software,https://www.eng.mcmaster.ca/cas/people/faculty
fa19_student,Rutgers University,Statistics,https://statistics.rutgers.edu/people-pages/faculty
